127.0.0.1 - - [19/Jun/2020:09:20:39 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:20:41 +0700] "GET /RMN_4SC/admin/matakuliah.jsp HTTP/1.1" 200 21488
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:20:41 +0700] "GET /RMN_4SC/admin/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:20:41 +0700] "GET /RMN_4SC/admin/css/sb-admin-2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:20:41 +0700] "GET /RMN_4SC/admin/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:20:41 +0700] "GET /RMN_4SC/admin/js/sb-admin-2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:20:41 +0700] "GET /RMN_4SC/admin/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:20:41 +0700] "GET /RMN_4SC/admin/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:20:46 +0700] "GET /RMN_4SC/admin/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:20:46 +0700] "GET /RMN_4SC/admin/vendor/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:21:38 +0700] "GET /RMN_4SC/admin/matakuliah.jsp HTTP/1.1" 200 21488
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:21:38 +0700] "GET /RMN_4SC/admin/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:21:38 +0700] "GET /RMN_4SC/admin/css/sb-admin-2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:21:38 +0700] "GET /RMN_4SC/admin/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:21:39 +0700] "GET /RMN_4SC/admin/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:21:39 +0700] "GET /RMN_4SC/admin/js/sb-admin-2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:21:39 +0700] "GET /RMN_4SC/admin/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:21:39 +0700] "GET /RMN_4SC/admin/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:21:39 +0700] "GET /RMN_4SC/admin/vendor/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:22:39 +0700] "GET /RMN_4SC/admin/add_matakuliah.jsp HTTP/1.1" 200 19376
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:22:40 +0700] "GET /RMN_4SC/admin/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:22:40 +0700] "GET /RMN_4SC/admin/css/sb-admin-2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:22:40 +0700] "GET /RMN_4SC/admin/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:22:40 +0700] "GET /RMN_4SC/admin/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:22:40 +0700] "GET /RMN_4SC/admin/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:22:40 +0700] "GET /RMN_4SC/admin/js/sb-admin-2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:23:07 +0700] "GET /RMN_4SC/admin/add_matakuliah.jsp HTTP/1.1" 200 19376
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:23:07 +0700] "GET /RMN_4SC/admin/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:23:07 +0700] "GET /RMN_4SC/admin/css/sb-admin-2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:23:07 +0700] "GET /RMN_4SC/admin/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:23:07 +0700] "GET /RMN_4SC/admin/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:23:07 +0700] "GET /RMN_4SC/admin/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:09:23:07 +0700] "GET /RMN_4SC/admin/js/sb-admin-2.min.js HTTP/1.1" 304 -
